count,reg,ven_time,dist,ven_z,ven_rho,ven_phi,new_reg
121,10,117.20918564609984,0.0482817712921996,0.988869,1.0,-1.482924,12
124,19,104.38177786612854,0.0946609557322571,0.888823,0.797278,0.91333,16
125,12,104.08052196136948,0.0582170439227389,0.993137,0.0,-1.408282,12
127,14,125.03818541368052,0.057255970827361,0.780253,0.493306,-0.459208,14
128,12,168.9898312638424,0.1149136625276848,0.7754,1.0,0.291805,15
132,18,94.1897307473725,0.0675214614947449,0.887446,0.55782,1.255288,17
133,15,100.60585845752954,0.103404516915059,0.777716,0.5758,-0.108718,14
134,17,93.50703500189324,0.0903566700037864,0.530653,0.504052,0.675845,22
135,19,86.88997296177325,0.0386935459235465,0.988964,0.0,0.4586,15
136,18,104.46859369606103,0.0900915873921221,0.863106,0.0,1.110542,17
137,17,90.34205751438007,0.0473807150287601,0.983906,1.0,0.288176,15
139,16,118.32547328177554,0.1163583465635511,0.557273,0.503024,0.0,21
142,17,95.13561917751116,0.1031842383550223,0.475639,0.15637,0.880263,22
148,13,88.70880373184565,0.0801546074636913,0.872004,1.0,-0.183839,14
152,10,107.73108399146088,0.0308151679829218,0.92547,0.491073,-1.345926,12
158,13,123.299816878023,0.076769833756046,0.887209,0.550885,-1.242968,12
159,15,109.464004711258,0.105707409422516,0.779578,1.0,-0.739797,13
160,16,112.68348726383684,0.1059547745276737,0.603106,0.311912,1.450703,23
161,15,112.68652268021216,0.0673128453604243,0.951821,0.527564,-0.679474,13
162,19,120.4746118718979,0.0706708237437958,0.841356,0.0,1.141556,17
163,12,121.00364370521642,0.0519670874104328,0.675865,0.626653,-1.176311,18
164,14,119.32332552465174,0.0778854510493034,0.947141,0.172294,-0.917159,13
169,14,100.84186598680634,0.0753325319736126,0.526032,0.508173,0.14482,21
171,11,97.86082523728348,0.1205534504745669,0.669779,0.0,-1.237793,18
175,11,103.93295612300663,0.0148319122460133,0.982727,0.194538,-0.070497,14
177,18,80.63265203379578,0.0508589040675915,0.903013,1.0,0.876112,16
179,15,81.73591918280815,0.0806858383656163,0.932531,1.0,-0.558713,13
181,16,149.9840354274481,0.0954520708548962,0.506893,0.532756,0.981401,22
184,13,106.31542664100944,0.0455182532820189,0.95834,0.0,-1.521758,12
186,12,112.87044853688865,0.0831102970737772,0.845161,0.816249,-1.050884,12
187,14,136.8936924950059,0.1146719849900117,0.887361,0.0,-1.114632,12
190,19,91.75497769210143,0.0720035553842028,0.767061,0.794165,0.840304,16
192,13,103.7934846289236,0.0391257692578472,0.837344,0.605135,-0.23354,14
193,15,90.88951625619228,0.0503374325123845,0.957135,0.657164,0.900086,16
194,11,132.88905804964193,0.1095939160992838,0.596963,0.0,-1.006193,18
195,15,101.2386645429939,0.0779571290859878,0.899235,0.793979,0.635586,16
198,11,106.48586385976635,0.0699659277195327,0.68087,0.466402,-0.767916,19
199,11,110.36544433551742,0.0392364886710348,0.973385,0.0,-0.454274,14
202,13,81.71311144010446,0.0558522228802089,0.901947,0.162418,-0.960687,13
206,12,117.9472994093755,0.112743598818751,0.543425,0.776388,-0.845101,19
