count,reg,ven_time,dist,ven_z,ven_rho,ven_phi,new_reg
63,0,154.5687933295017,0.0995095866590033,0.855611,0.0,2.481836,5
64,9,138.72231963528787,0.1218222392705757,0.582962,0.508742,-2.779488,6
65,8,114.43238100408652,0.066501562008173,0.987854,0.577557,-0.140243,2
67,8,150.16594121276017,0.0500898824255203,0.780715,0.673428,2.49512,5
71,6,148.27307629098175,0.0803401525819635,0.870277,0.310212,2.781975,5
77,3,152.54659182945846,0.0658051836589169,0.916439,0.334121,0.931784,3
81,7,148.8761105468494,0.0770142210936987,0.785633,0.132355,0.79948,3
83,2,148.76085350642936,0.0566717070128587,0.74538,0.294472,-2.34603,0
86,4,133.699140457043,0.056048280914086,0.807186,0.172623,-1.076916,2
87,6,145.3941800293567,0.0429723600587133,0.92734,0.598501,2.540068,5
92,6,116.0450084101945,0.0284820168203889,0.946135,0.484549,0.762459,3
93,4,122.53062841153697,0.1064140568230739,0.668077,0.091609,-0.508666,8
94,5,142.97359003998997,0.0582811800799799,0.755045,0.517115,-1.006333,2
96,6,143.27977706049225,0.0570315541209845,0.876763,0.643527,0.0,3
98,1,138.13487407240885,0.0703877481448177,0.950043,0.171481,-1.803271,1
104,4,118.24190027923396,0.0308758005584678,0.987854,0.543438,0.794774,3
108,0,125.74366090679774,0.0835159218135955,0.942272,0.405378,2.875004,5
109,7,116.91062189346924,0.0755766437869384,0.91968,0.539681,-2.751035,0
110,7,153.05913884526694,0.0515162776905339,0.880114,0.863411,2.468794,5
113,8,132.06298326349122,0.0758407665269824,0.666215,0.586098,1.256637,10
114,1,122.35075568894764,0.0977813113778952,0.753902,0.660792,-1.984229,1
115,9,159.0812923218287,0.0506425846436574,0.790153,0.530607,1.256637,4
117,8,133.5819225213284,0.1272802450426568,0.540932,1.0,2.813979,11
118,4,143.9601111161013,0.0738702222322026,0.760635,1.0,-1.146152,1
120,4,187.2170206249054,0.1006000412498107,0.532484,0.400097,0.387458,9
122,5,143.1587281911929,0.0519554563823858,0.950663,0.510388,-0.549385,2
123,0,174.38904158565015,0.0993500831713002,0.576694,0.875559,-2.125836,7
126,0,146.18060771089355,0.062147215421787,0.835734,0.808716,1.018533,3
129,2,151.89665809702728,0.0738473161940545,0.954948,0.316136,2.784045,5
130,0,170.8848735180824,0.0792777470361647,0.949497,0.391754,1.630873,4
131,1,157.8045484956914,0.1091910969913827,0.556418,0.0,-2.790858,6
138,5,113.43740620103512,0.0847642124020702,0.986414,1.0,1.038208,3
140,3,121.4469535771028,0.0586651071542055,0.845395,0.0,0.037472,3
143,9,154.74188096586383,0.0541117619317276,0.866764,1.0,2.724466,5
144,8,113.44757332713289,0.0437917466542657,0.948074,0.120698,2.612341,5
145,0,142.63530872226508,0.0388606174445301,0.915119,0.64775,2.871962,5
146,9,122.30883792605997,0.0527712758521199,0.989977,0.0,2.794704,5
147,8,136.7899591962714,0.1143451183925428,0.681249,0.0,2.270914,11
149,8,145.2022672168009,0.0846885344336017,0.882783,1.0,-2.984545,0
150,4,124.55523004048972,0.0938362600809794,0.765716,0.336695,-0.283211,2
151,0,145.9172259702705,0.0471424519405409,0.807222,1.0,-3.006658,0
153,2,139.5354138159163,0.0436748276318326,0.883722,1.0,-3.029102,0
154,3,165.1368782933942,0.0572977565867884,0.866391,0.230069,-1.959665,1
155,7,116.4724983559287,0.0360183967118574,0.992232,0.769389,-1.679256,1
156,2,171.01444241902095,0.0880448848380419,0.981453,0.352217,0.620863,3
157,4,147.2343321857913,0.0985694643715825,0.704713,0.0,-2.199084,1
167,5,128.61930121561295,0.0473546024312259,0.880932,0.420905,0.094901,3
168,9,156.99018046407514,0.0551963609281502,0.840304,0.307944,0.515254,3
170,1,150.4030848250845,0.047318169650169,0.980728,0.155502,2.239121,5
172,2,130.1288305487833,0.0391376610975665,0.918698,0.58732,-0.972415,2
173,2,98.9099847153114,0.0844629694306228,0.820182,0.299118,0.5678,3
174,6,122.3118520669646,0.1197741041339292,0.693716,0.443789,3.118811,11
176,6,135.10147696676586,0.0458669539335316,0.892927,0.539029,-2.864498,0
178,1,167.26081322942633,0.0896216264588526,0.567438,0.0,-2.848263,6
180,1,155.63864287872457,0.1077452857574491,0.829955,0.288316,-1.208398,1
182,6,126.9951468566584,0.1202576937133168,0.603067,0.331296,1.227637,10
183,3,155.9996950107632,0.0821793900215264,0.879127,0.901023,0.426572,3
